NAME COUNT
b-hkr 767571
e-mch 762540
e-mcv 762347
b-hb 755754
b-eryt 717869
b-trom 704539
b-leuk 699395
e-mchc 560046
p-na 469391
p-k 463814
p-krea 450411
e-rdw 445567
p-alat 274905
p-crp 248277
pt-gfreepi 187930
p-afos 147652
fp-gluk 140645
fp-kol-ldl 124517
b-neut 120305
fp-trigly 119717
fp-kol 117631
fp-kol-hdl 115019
b-la 97911
p-tsh 85410
b-hba1c 83277
p-gluk 82301
b-eos 78162
b-baso 75528
p-bil 75309
pt-gfre 69238
p-t4-v 62153
p-tt-inr 61659
l-eos 58687
l-baso 58655
b-monos 58262
b-erybla 54812
b-ly 53037
p-alb 52098
p-gt 50963
u-ph 46699
p-inr 45238
l-neut 41218
p-asat 39574
l-monos 34325
p-amyl 32170
fp-krea 29799
u-eryt 29535
u-leuk 28860
u-suhti 27152
p-tnt 26664
l-ly 26254
s-ca-ion 24457
b-lymf 23752
p-ck 23473
b-tromb 20664
l-neut(a) 20653
l-mono(a) 20530
s-ca-iona 20469
l-lymf(a) 20417
u-krea 20250
l-lymf 19321
p-uraat 19162
p-tt 19012
b-mono 18193
fb-leuk 17816
u-epit 17558
s-ph 16748
p-ferrit 16340
p-ca-iona 16246
p-ca 16240
fp-pi 16212
s-tsh 16067
s-d-25 15955
p-probnp 15829
e-retik 15804
p-psa 15138
b-erblast 14953
p-cl 14934
p-mg 13175
u-lier 13078
p-ca-ion. 12910
ab-pco2 12900
ab-po2 12809
u-suhtih 12662
l-mono 12161
s-alat 11916
fp-ca 11639
vb-pco2 11534
p-tni 11444
p-ld 11288
fs-trigly 11154
fs-kol 10973
u-keto-o 10918
fs-kol-ldl 10862
fs-kol-hdl 10850
s-t4-v 10599
u-gluk-o 10590
ab-be 10464
cb-pco2 10246
s-ferrit 10242
u-osmest 10198
fp-urea 10074
fs-krea 9906
u-nitr-o 9843
cb-ph 9688
u-alb 9652
u-lieriöt 9427
p-aptt 9342
fp-laktaat 9308
b-ghb-a1c 9037
u-ph-o 8990
u-levyep 8861
ab-hb 8787
u-alb-o 8747
ab-hb-met 8545
ab-hb-co 8402
ab-hbo2 8394
s-gt 8321
u-albkre 8303
u-eryt-o 8252
p-bil-kj 8250
s-b12-tc2 8241
p-ca-albk 8208
vb-po2 8180
l-baso(a) 7875
hdl/kol 7806
l-eos(a) 7776
u-leuk-o 7761
fp-fe 7572
vb-be 7408
p-tfr 7393
s-ca(7.4) 7361
ab-o2-vol% 7061
s-prot 7058
p-ck-mbm 6930
ph 6868
ab-hbo2sat 6751
s-ph(akt) 6660
s-ca(akt) 6639
p-urea 6540
s-crp 6445
p-pi 6414
p-hco3 6363
ab-hco3-st 6347
p-bnp 6296
u-leuk-bv 6289
s-b12-vit 6275
u-bakt 6235
fp-pth 6230
ab-ph 6187
fs-ph 6166
fp-transf 6102
vb-hbo2sat 6100
vb-ph 6081
p-kol-ldl 6052
b-retik 6001
ab-o2sat 5789
s-ca-i7.4 5688
p-psa-suh 5639
ca++ 5590
ca++ph7.4 5529
p-fidd 5413
fs-folaat 5313
fe-folaat 5245
cb-be 5225
rakkoaika 5171
s-tfr 5155
cb-po2 5142
s-k 5136
s-cdt 5018
l-liuskat 5014
u-hyalie 4881
b-liuskat 4832
s-psa 4813
l-neut% 4726
p-b12-vit 4721
ab-ahco3 4562
p-kol 4556
s-na 4533
lymf 4440
pt-lämpöt 4432
baso 4423
vb-hb-co 4394
p-kol-hdl 4393
p-iga 4375
u-osmoest 4365
b-ph 4321
p-trigly 4297
u-osmole 4285
fs-ca-ion 4271
b-hb-a1c 4268
l-eos% 4229
u-suhti-o 4110
p-gfreepi 4101
l-lymf% 4033
b-k 3991
b-na 3979
p-psa-v 3977
neut 3944
vb-hb-met 3923
fp-trfesat 3913
u-pienep 3892
f-calpro 3875
cb-hco3 3767
s-iga 3731
fs-ca++7.4 3704
p-d-25 3700
ca-ion 3660
vb-thb 3623
p-psa-t 3505
vb-hco3-st 3470
p-amylp 3467
ca++/7.40 3459
s-cea 3430
p-igg 3414
eos 3381
cb-hbo2sat 3319
cb-hco3-st 3309
mono 3307
u-epi 3301
b-hb-co 3135
ab-shco3 3090
ap-laktaat 3069
kol/hdlsuh 3028
s-ttgaba 3005
ap-na 3002
b-pco2 2988
b-po2 2983
vb-ahco3 2973
ap-k 2969
ca++/ph7.4 2967
p-t3-v 2948
b-hb-met 2912
fs-fe 2851
b-laktteh 2801
s-psa-t 2773
s-igg 2730
b-eos% 2728
l-basof 2701
ab-thb 2680
vb-shco3 2652
l-lymfos 2631
p-laktaat 2584
vb-hb 2550
s-prealb 2486
p-kysc 2452
s-testo 2413
b-eosin 2379
vb-o2-sis 2376
p-t4v 2371
s-korsol 2356
p-trombai 2354
fs-transf 2321
s-ige 2299
ab-ca-ion 2292
pt-gfre-md 2280
b-baso% 2227
ab-ca-i7.4 2226
s-pappa 2225
b-cl 2140
cp-gluk-lb 2134
b-angap 2118
fp-nh4-ion 2100
l-baso% 2030
s-afos 2028
p-na-veka 2015
p-igm 1991
p-k-veka 1972
cp-crp-hy 1918
vp-shco3 1906
vp-ph 1903
l-eosin 1861
l-neutr 1853
l-mon% 1837
cp-gluk-hy 1799
s-ld 1785
b-neutabs 1769
b-pvk+tkd,neut 1767
b-pvk+tkd,ig 1762
s-ccpab 1760
p-korsol 1756
b-pvk+tkd,lymph 1753
fp-na 1747
b-pvk+tkd,eo 1744
b-pvk+tkd,baso 1736
b-pvk+tkd,mono 1725
p-ca-ion 1679
b-mono% 1662
s-valpr 1639
li-eryt 1610
fs-trfesat 1606
cb-shco3 1601
li-prot 1590
cb-ahco3 1573
s-iglck-v 1573
monos 1569
b-hco3 1566
s-iglcl-v 1560
s-prl 1556
s-uraat 1534
p-pct 1529
b-be 1518
s-igm 1515
b-hemoglobiini 1510
l-monos% 1500
vp-laktaat 1483
s-fsh 1480
li-gluk 1472
vp-cl 1470
vp-k 1452
neut% 1450
fs-ace 1443
cb-ca-ion 1436
vp-na 1435
vp-ca-ion 1423
p-tt-% 1422
b-erytrosyytit 1416
vp-gluk 1416
ab-hco3 1414
p-myogl 1381
li-leuk 1378
fp-ca-ion. 1337
s-k/l-s-v 1335
p-cea 1334
fs-gluk 1330
e-hemoglobiini,keskimassakonsentraatio 1307
fp-k 1297
s-hcgbv/d 1295
s-caion7.4 1294
b-lymf% 1291
u-hyalier 1288
b-neutr% 1285
b-neutrof 1284
s-rf 1261
p-fibr 1255
e-hemoglobiini,keskimassa 1254
s-ca19-9 1227
us-tsh 1227
u-prot 1199
fp-kol-ind 1197
u-muulier 1189
-h-ind 1179
u-alb-mi 1175
u-albkrea 1175
l-mon 1168
l-mono% 1157
b-leuc 1156
l-ly% 1153
u-lieriö 1142
b-trombosyytit 1134
p-crp-o 1120
b-bas 1117
b-neut% 1113
s-ca12-5 1108
s-digoks 1106
p-antifxa 1098
poikkeavalämpötila 1091
p-ca(7.4) 1079
crp-pika 1058
s-li 1040
