ABBREVIATION	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL
b-pvk+t	761639	0.0983%	15235022	1.96609%	15996661
-cv19nho	433585	0.0560%	4931530	0.63642%	5365115
p-crp	14796881	1.9095%	4555157	0.58785%	19352038
u-baktvi	412023	0.0532%	4330522	0.55886%	4742545
u-kemseul	263008	0.0339%	3640352	0.46979%	3903360
pt-ekg-12	122484	0.0158%	3329759	0.42971%	3452243
b-pvk	35684	0.0046%	2573729	0.33214%	2609413
u-gluk-o	812903	0.1049%	2113187	0.27271%	2926090
u-keto-o	861080	0.1111%	2056554	0.26540%	2917634
b-pvkt	647	0.0001%	1983265	0.25594%	1983912
u-nitr-o	889452	0.1148%	1966202	0.25374%	2855654
b-diffi	330307	0.0426%	1896366	0.24473%	2226673
u-leuk-o	918109	0.1185%	1780889	0.22983%	2698998
u-solut	257054	0.0332%	1625183	0.20973%	1882237
b-baktvi	190376	0.0246%	1480340	0.19104%	1670716
p-vrab-o	17855	0.0023%	1367368	0.17646%	1385223
b-tvk	39456	0.0051%	1320570	0.17042%	1360026
u-alb-o	673104	0.0869%	1301803	0.16800%	1974907
u-baktjvi	254425	0.0328%	1165419	0.15040%	1419844
u-eryt-o	679372	0.0877%	1086658	0.14023%	1766030
b-xkoe	130293	0.0168%	1065831	0.13755%	1196124
b-pvk+tkd	12561	0.0016%	1032257	0.13321%	1044818
fp-lipidit	94445	0.0122%	920878	0.11884%	1015323
u-bakt	377572	0.0487%	881696	0.11378%	1259268
ps-strvi	112284	0.0145%	842930	0.10878%	955214
ts-pad-1	54537	0.0070%	793883	0.10245%	848420
s-ca-ion	1063028	0.1372%	662317	0.08547%	1725345
p-k	20955616	2.7043%	648097	0.08364%	21603713
s-crp	702458	0.0907%	637712	0.08230%	1340170
e-aborh	70671	0.0091%	629058	0.08118%	699729
u-prot-o	318326	0.0411%	597310	0.07708%	915636
ps-straag	33134	0.0043%	583690	0.07533%	616824
b-eryt	32233249	4.1597%	568138	0.07332%	32801387
b-leuk	31725206	4.0942%	566703	0.07313%	32291909
pt-ekg-atk	34843	0.0045%	547914	0.07071%	582757
e-vrtark	127470	0.0165%	518290	0.06689%	645760
s-hivagab	90489	0.0117%	510427	0.06587%	600916
s-vrab-o	193845	0.0250%	505465	0.06523%	699310
u-hb-o	353803	0.0457%	478046	0.06169%	831849
-mrsavi	16447	0.0021%	470200	0.06068%	486647
pt-gfreepi	8621664	1.1126%	468131	0.06041%	9089795
u-tutkesi	9730	0.0013%	468115	0.06041%	477845
u-chtrnho	61903	0.0080%	467522	0.06033%	529425
cv19nho	3579	0.0005%	461281	0.05953%	464860
pt-papa-1	22770	0.0029%	450157	0.05809%	472927
u-gcnho	47237	0.0061%	433757	0.05598%	480994
fs-lipidit	49576	0.0064%	426643	0.05506%	476219
p-tnt	1590569	0.2053%	400090	0.05163%	1990659
u-ctgcnho	57959	0.0075%	381053	0.04918%	439012
e-mcv	32442569	4.1867%	378165	0.04880%	32820734
e-mch	32391249	4.1801%	378049	0.04879%	32769298
s-psa-suh	68650	0.0089%	377907	0.04877%	446557
pu-baktvi1	83035	0.0107%	370651	0.04783%	453686
u-solu.	2112	0.0003%	367579	0.04744%	369691
NA	468256	0.0604%	364530	0.04704%	832786
s-hbsag	51265	0.0066%	360174	0.04648%	411439
b-trom	31626024	4.0814%	347279	0.04482%	31973303
u-albkre	571014	0.0737%	335326	0.04327%	906340
p-gfreepi	141459	0.0183%	331061	0.04272%	472520
s-ttgaba	244898	0.0316%	325639	0.04202%	570537
pu-baktvi2	74209	0.0096%	302548	0.03904%	376757
e-mchc	23493060	3.0318%	302481	0.03904%	23795541
pt-ekg-oma	3045	0.0004%	300656	0.03880%	303701
e-rdw	19004745	2.4526%	298963	0.03858%	19303708
e-rdw	53211	0.0069%	298963	0.03858%	352174
p-inr	2573886	0.3322%	298088	0.03847%	2871974
p-krea	21797503	2.8130%	297389	0.03838%	22094892
u-opiaa-o	26880	0.0035%	286911	0.03703%	313791
b-hkr	32893386	4.2449%	284298	0.03669%	33177684
u-canna-o	34526	0.0045%	279195	0.03603%	313721
b-hb	32620242	4.2097%	273844	0.03534%	32894086
ottotapa	19947	0.0026%	272437	0.03516%	292384
-chtrnho	60148	0.0078%	267661	0.03454%	327809
u-bendi-o	45441	0.0059%	267314	0.03450%	312755
u-koka-o	24961	0.0032%	266849	0.03444%	291810
u-alb	622739	0.0804%	265691	0.03429%	888430
s-hcvab	43970	0.0057%	263812	0.03405%	307782
u-amfet-o	30648	0.0040%	263508	0.03401%	294156
s-b12-tc2	509639	0.0658%	261348	0.03373%	770987
p-tni	754139	0.0973%	259620	0.03350%	1013759
ab-vekaasl	406	0.0001%	257532	0.03323%	257938
p-na	21000451	2.7101%	255063	0.03292%	21255514
b-erblast	1075546	0.1388%	253253	0.03268%	1328799
p-gluk	4001677	0.5164%	250431	0.03232%	4252108
p-psa-suh	340555	0.0439%	237254	0.03062%	577809
s-trpaab	30887	0.0040%	234749	0.03029%	265636
p-alat	12318263	1.5897%	231382	0.02986%	12549645
pt-gfre-md	154532	0.0199%	231362	0.02986%	385894
ts-padgast	17445	0.0023%	218699	0.02822%	236144
-infanho	26430	0.0034%	218534	0.02820%	244964
u-bupre-o	36638	0.0047%	214093	0.02763%	250731
ts-pad-3	31438	0.0041%	210110	0.02711%	241548
p-ca-ion	61504	0.0079%	204102	0.02634%	265606
b-pvk+tmd	28912	0.0037%	196522	0.02536%	225434
u-menetel	1819	0.0002%	193615	0.02499%	195434
cb-he-tase	534	0.0001%	191038	0.02465%	191572
-gcnho	45225	0.0058%	184211	0.02377%	229436
-infbnho	20209	0.0026%	181788	0.02346%	201997
u-veri-o	84963	0.0110%	180417	0.02328%	265380
pt-gluk-r1	16644	0.0021%	177048	0.02285%	193692
u-huum-o	14029	0.0018%	175594	0.02266%	189623
-ctgcnho	39360	0.0051%	175417	0.02264%	214777
s-ana	77416	0.0100%	174067	0.02246%	251483
ts-padcolo	19455	0.0025%	172790	0.02230%	192245
u-ph	2064826	0.2665%	170934	0.02206%	2235760
s-kipa	240	0.0000%	165142	0.02131%	165382
-rsvnho	21426	0.0028%	159570	0.02059%	180996
u-suhti	1194799	0.1542%	158332	0.02043%	1353131
b-neut	5752671	0.7424%	156194	0.02016%	5908865
ab-be	890560	0.1149%	156127	0.02015%	1046687
f-cldtnho	18387	0.0024%	153304	0.01978%	171691
u-suhtih	398023	0.0514%	152669	0.01970%	550692
l-promyel	69126	0.0089%	152475	0.01968%	221601
l-myelos	64916	0.0084%	152386	0.01967%	217302
l-blastit	47988	0.0062%	152331	0.01966%	200319
cb-be	378548	0.0489%	148289	0.01914%	526837
b-ghb-a1c	436046	0.0563%	147722	0.01906%	583768
b-vrab-gr	16478	0.0021%	143756	0.01855%	160234
s-prot-fr	28272	0.0036%	142302	0.01836%	170574
f-salmvi	18914	0.0024%	141431	0.01825%	160345
u-metad-o	22205	0.0029%	141321	0.01824%	163526
-cv19ag5	5298	0.0007%	139969	0.01806%	145267
f-hhb-o	26662	0.0034%	138526	0.01788%	165188
u-bakt-vi	5797	0.0007%	136625	0.01763%	142422
s-psa-v	74763	0.0096%	134210	0.01732%	208973
s-hbcab	33035	0.0043%	132331	0.01708%	165366
s-emaba	16641	0.0021%	129459	0.01671%	146100
fs-ca-ion	117087	0.0151%	127990	0.01652%	245077
f-baktvi1	9794	0.0013%	126050	0.01627%	135844
b-lakt-d	15518	0.0020%	124663	0.01609%	140181
p-bil	3840985	0.4957%	124480	0.01606%	3965465
s-ccpab	170343	0.0220%	124245	0.01603%	294588
s-borrab	12624	0.0016%	119189	0.01538%	131813
cb-het-ion	15142	0.0020%	114790	0.01481%	129932
pt-fvspido	7143	0.0009%	111646	0.01441%	118789
ts-pad-ih	11472	0.0015%	110260	0.01423%	121732
sk-sienvi	23584	0.0030%	106741	0.01378%	130325
vb-be	385557	0.0498%	106243	0.01371%	491800
oma-crp	76145	0.0098%	104189	0.01345%	180334
f-hepyag	18084	0.0023%	101817	0.01314%	119901
pt-fvspird	9417	0.0012%	100481	0.01297%	109898
b-baso	3442157	0.4442%	99926	0.01290%	3542083
-inabrsv	8444	0.0011%	99918	0.01289%	108362
s-borrabg	27818	0.0036%	99084	0.01279%	126902
s-iglc-v	129	0.0000%	97530	0.01259%	97659
p-tt-inr	4656033	0.6009%	96550	0.01246%	4752583
l-metamye	46111	0.0060%	94069	0.01214%	140180
cp-crp-hy	192742	0.0249%	93719	0.01209%	286461
u-leuk	1568259	0.2024%	91070	0.01175%	1659329
-hpvnho	5083	0.0007%	90760	0.01171%	95843
vb-he-tase	23933	0.0031%	90226	0.01164%	114159
s-igakeli	22122	0.0029%	87464	0.01129%	109586
p-psa-v/t	747	0.0001%	87363	0.01127%	88110
