	CONCEPT_NAME	OMOP_CONCEPT_ID	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL	PERCENTAGE_TOTAL	COUNT_INDVS_NO_MISSING	COUNT_INDVS_MISSING	COUNT_INDVS_ALL
0	Erythrocyte distribution width [Ratio]	3002385	38115912	4.97747%	1195852	0.15616369%	39311764	5.13363692%	2600031	142704	2617834
1	Hematocrit [Volume Fraction] of Blood	3009542	32893386	4.29548%	284298	0.03712585%	33177684	4.33260088%	4046380	158692	4053212
2	Hemoglobin [Mass/volume] in Blood	3000963	32678453	4.26741%	276484	0.03610544%	32954937	4.30351284%	4046503	156617	4053017
3	MCV [Entitic volume]	3024731	32442569	4.23660%	378165	0.04938374%	32820734	4.28598757%	4048098	161563	4055119
4	MCH [Entitic mass]	3035941	32391249	4.22990%	378049	0.04936859%	32769298	4.27927065%	4046122	162073	4053170
5	Erythrocytes [#/volume] in Blood	3026361	32233249	4.20927%	568138	0.07419189%	32801387	4.28346108%	4029883	305685	4046808
6	Leukocytes [#/volume] in Blood	3010813	31725206	4.14292%	566703	0.07400450%	32291909	4.21692947%	4002724	283981	4015837
7	Platelets [#/volume] in Blood	3007461	31626024	4.12997%	347279	0.04535040%	31973303	4.17532341%	3985152	161378	3991720
8	Creatinine [Moles/volume] in Serum or Plasma	3020564	24931268	3.25572%	299927	0.03916681%	25231195	3.29488634%	3355042	153854	3361997
9	MCHC [Mass/volume]	3003338	23493060	3.06791%	302481	0.03950033%	23795541	3.10740744%	3135282	108797	3142645
10	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)	40764999	22255102	2.90624%	980869	0.12808953%	23235971	3.03433442%	2134098	194376	2255051
11	Potassium [Moles/volume] in Serum or Plasma	3023103	21481229	2.80519%	648685	0.08471035%	22129914	2.88989686%	2968584	287383	2993874
